idSponsor,VoteMonth,VoteYear,VoteCount
109,3,2017,372
110,3,2017,372
112,3,2017,372
113,3,2017,372
114,3,2017,372
115,3,2017,372
116,3,2017,372
117,3,2017,372
118,3,2017,372
119,3,2017,372
120,3,2017,372
121,3,2017,372
122,3,2017,372
123,3,2017,372
124,3,2017,372
125,3,2017,372
126,3,2017,372
127,3,2017,372
128,3,2017,372
129,3,2017,372
130,3,2017,372
131,3,2017,372
132,3,2017,372
133,3,2017,372
134,3,2017,372
135,3,2017,372
136,3,2017,372
137,3,2017,372
138,3,2017,372
139,3,2017,372
140,3,2017,372
141,3,2017,372
142,3,2017,372
143,3,2017,372
144,3,2017,372
145,3,2017,372
146,3,2017,372
147,3,2017,372
148,3,2017,372
149,3,2017,372
1,4,2017,438
2,4,2017,438
3,4,2017,438
4,4,2017,438
5,4,2017,438
6,4,2017,438
7,4,2017,438
8,4,2017,438
9,4,2017,438
10,4,2017,438
11,4,2017,438
12,4,2017,438
13,4,2017,438
14,4,2017,438
15,4,2017,438
16,4,2017,438
17,4,2017,438
18,4,2017,438
19,4,2017,438
20,4,2017,438
21,4,2017,438
22,4,2017,438
23,4,2017,438
24,4,2017,438
25,4,2017,438
26,4,2017,438
27,4,2017,438
28,4,2017,438
29,4,2017,438
30,4,2017,438
31,4,2017,438
32,4,2017,438
33,4,2017,438
34,4,2017,438
35,4,2017,438
36,4,2017,438
37,4,2017,438
38,4,2017,438
39,4,2017,438
40,4,2017,438
41,4,2017,438
42,4,2017,438
43,4,2017,438
44,4,2017,438
45,4,2017,438
46,4,2017,438
47,4,2017,438
48,4,2017,438
49,4,2017,438
50,4,2017,438
51,4,2017,438
52,4,2017,438
53,4,2017,438
54,4,2017,438
55,4,2017,438
56,4,2017,438
57,4,2017,438
58,4,2017,438
59,4,2017,438
60,4,2017,438
61,4,2017,438
62,4,2017,438
63,4,2017,438
64,4,2017,438
65,4,2017,438
66,4,2017,438
67,4,2017,438
68,4,2017,438
69,4,2017,438
70,4,2017,438
71,4,2017,438
72,4,2017,438
73,4,2017,438
74,4,2017,438
75,4,2017,438
76,4,2017,438
77,4,2017,438
78,4,2017,438
79,4,2017,438
80,4,2017,438
82,4,2017,438
83,4,2017,438
84,4,2017,438
85,4,2017,438
86,4,2017,438
87,4,2017,438
88,4,2017,438
89,4,2017,438
90,4,2017,438
91,4,2017,438
92,4,2017,438
93,4,2017,438
94,4,2017,438
95,4,2017,438
96,4,2017,438
97,4,2017,438
98,4,2017,438
99,4,2017,438
100,4,2017,486
101,4,2017,486
102,4,2017,486
103,4,2017,486
104,4,2017,486
105,4,2017,486
106,4,2017,486
107,4,2017,486
108,4,2017,486
109,4,2017,486
110,4,2017,486
112,4,2017,486
113,4,2017,486
114,4,2017,486
115,4,2017,486
116,4,2017,486
117,4,2017,486
118,4,2017,486
119,4,2017,486
120,4,2017,486
121,4,2017,486
122,4,2017,486
123,4,2017,486
124,4,2017,486
125,4,2017,486
126,4,2017,486
127,4,2017,486
128,4,2017,486
129,4,2017,486
130,4,2017,486
131,4,2017,486
132,4,2017,486
133,4,2017,486
134,4,2017,486
135,4,2017,486
136,4,2017,486
137,4,2017,486
138,4,2017,486
139,4,2017,486
140,4,2017,486
141,4,2017,486
142,4,2017,486
143,4,2017,486
144,4,2017,486
145,4,2017,486
146,4,2017,486
147,4,2017,486
148,4,2017,486
149,4,2017,486
1,5,2017,36
2,5,2017,36
3,5,2017,36
4,5,2017,36
5,5,2017,36
6,5,2017,36
7,5,2017,36
8,5,2017,36
9,5,2017,36
10,5,2017,36
11,5,2017,36
12,5,2017,36
13,5,2017,36
14,5,2017,36
15,5,2017,36
16,5,2017,36
17,5,2017,36
18,5,2017,36
19,5,2017,36
20,5,2017,36
21,5,2017,36
22,5,2017,36
23,5,2017,36
24,5,2017,36
25,5,2017,36
26,5,2017,36
27,5,2017,36
28,5,2017,36
29,5,2017,36
30,5,2017,36
31,5,2017,36
32,5,2017,36
33,5,2017,36
34,5,2017,36
35,5,2017,36
36,5,2017,36
37,5,2017,36
38,5,2017,36
39,5,2017,36
40,5,2017,36
41,5,2017,36
42,5,2017,36
43,5,2017,36
44,5,2017,36
45,5,2017,36
46,5,2017,36
47,5,2017,36
48,5,2017,36
49,5,2017,36
50,5,2017,36
51,5,2017,36
52,5,2017,36
53,5,2017,36
54,5,2017,36
55,5,2017,36
56,5,2017,36
57,5,2017,36
58,5,2017,36
59,5,2017,36
60,5,2017,36
61,5,2017,36
62,5,2017,36
63,5,2017,36
64,5,2017,36
65,5,2017,36
66,5,2017,36
67,5,2017,36
68,5,2017,36
69,5,2017,36
70,5,2017,36
71,5,2017,36
72,5,2017,36
73,5,2017,36
74,5,2017,36
75,5,2017,36
76,5,2017,36
77,5,2017,36
78,5,2017,36
79,5,2017,36
80,5,2017,36
82,5,2017,36
83,5,2017,36
84,5,2017,36
85,5,2017,36
86,5,2017,36
87,5,2017,36
88,5,2017,36
89,5,2017,36
90,5,2017,36
91,5,2017,36
92,5,2017,36
93,5,2017,36
94,5,2017,36
95,5,2017,36
96,5,2017,36
97,5,2017,36
98,5,2017,36
99,5,2017,36
100,5,2017,30
101,5,2017,30
102,5,2017,30
103,5,2017,30
104,5,2017,30
105,5,2017,30
106,5,2017,30
107,5,2017,30
108,5,2017,30
109,5,2017,30
110,5,2017,30
112,5,2017,30
113,5,2017,30
114,5,2017,30
115,5,2017,30
116,5,2017,30
117,5,2017,30
118,5,2017,30
119,5,2017,30
120,5,2017,30
121,5,2017,30
122,5,2017,30
123,5,2017,30
124,5,2017,30
125,5,2017,30
126,5,2017,30
127,5,2017,30
128,5,2017,30
129,5,2017,30
130,5,2017,30
131,5,2017,30
132,5,2017,30
133,5,2017,30
134,5,2017,30
135,5,2017,30
136,5,2017,30
137,5,2017,30
138,5,2017,30
139,5,2017,30
140,5,2017,30
141,5,2017,30
142,5,2017,30
143,5,2017,30
144,5,2017,30
145,5,2017,30
146,5,2017,30
147,5,2017,30
148,5,2017,30
149,5,2017,30
