idSponsor,VoteMonth,VoteYear,VoteCount
1,1,2017,3
2,1,2017,3
3,1,2017,3
4,1,2017,3
5,1,2017,3
6,1,2017,3
7,1,2017,3
8,1,2017,3
9,1,2017,3
10,1,2017,3
11,1,2017,3
12,1,2017,3
13,1,2017,3
14,1,2017,3
15,1,2017,3
16,1,2017,3
17,1,2017,3
18,1,2017,3
19,1,2017,3
20,1,2017,3
21,1,2017,3
22,1,2017,3
23,1,2017,3
24,1,2017,3
25,1,2017,3
26,1,2017,3
27,1,2017,3
28,1,2017,3
29,1,2017,3
30,1,2017,3
31,1,2017,3
32,1,2017,3
33,1,2017,3
34,1,2017,3
35,1,2017,3
36,1,2017,3
37,1,2017,3
38,1,2017,3
39,1,2017,3
40,1,2017,3
41,1,2017,3
42,1,2017,3
43,1,2017,3
44,1,2017,3
45,1,2017,3
46,1,2017,3
47,1,2017,3
48,1,2017,3
49,1,2017,3
50,1,2017,3
51,1,2017,3
52,1,2017,3
54,1,2017,3
55,1,2017,3
56,1,2017,3
57,1,2017,3
58,1,2017,3
59,1,2017,3
60,1,2017,3
61,1,2017,3
62,1,2017,3
63,1,2017,3
64,1,2017,3
65,1,2017,3
66,1,2017,3
67,1,2017,3
68,1,2017,3
69,1,2017,3
70,1,2017,3
71,1,2017,3
72,1,2017,3
73,1,2017,3
74,1,2017,3
75,1,2017,3
76,1,2017,3
77,1,2017,3
78,1,2017,3
79,1,2017,3
80,1,2017,3
81,1,2017,3
82,1,2017,3
83,1,2017,3
84,1,2017,3
85,1,2017,3
86,1,2017,3
87,1,2017,3
88,1,2017,3
89,1,2017,3
90,1,2017,3
91,1,2017,3
92,1,2017,3
93,1,2017,3
94,1,2017,3
95,1,2017,3
96,1,2017,3
97,1,2017,3
98,1,2017,3
99,1,2017,3
1,2,2017,219
2,2,2017,219
3,2,2017,219
4,2,2017,219
5,2,2017,219
6,2,2017,219
7,2,2017,219
8,2,2017,219
9,2,2017,219
10,2,2017,219
11,2,2017,219
12,2,2017,219
13,2,2017,219
14,2,2017,219
15,2,2017,219
16,2,2017,219
17,2,2017,219
18,2,2017,219
19,2,2017,219
20,2,2017,219
21,2,2017,219
22,2,2017,219
23,2,2017,219
24,2,2017,219
25,2,2017,219
26,2,2017,219
27,2,2017,219
28,2,2017,219
29,2,2017,219
30,2,2017,219
31,2,2017,219
32,2,2017,219
33,2,2017,219
34,2,2017,219
35,2,2017,219
36,2,2017,219
37,2,2017,219
38,2,2017,219
39,2,2017,219
40,2,2017,219
41,2,2017,219
42,2,2017,219
43,2,2017,219
44,2,2017,219
45,2,2017,219
46,2,2017,219
47,2,2017,219
48,2,2017,219
49,2,2017,219
50,2,2017,219
51,2,2017,219
52,2,2017,219
53,2,2017,209
54,2,2017,219
55,2,2017,219
56,2,2017,219
57,2,2017,219
58,2,2017,219
59,2,2017,219
60,2,2017,219
61,2,2017,219
62,2,2017,219
63,2,2017,219
64,2,2017,219
65,2,2017,219
66,2,2017,219
67,2,2017,219
68,2,2017,219
69,2,2017,219
70,2,2017,219
71,2,2017,219
72,2,2017,219
73,2,2017,219
74,2,2017,219
75,2,2017,219
76,2,2017,219
77,2,2017,219
78,2,2017,219
79,2,2017,219
80,2,2017,219
82,2,2017,219
83,2,2017,219
84,2,2017,219
85,2,2017,219
86,2,2017,219
87,2,2017,219
88,2,2017,219
89,2,2017,219
90,2,2017,219
91,2,2017,219
