id_visitor,dim_device_app_combo
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Unknown - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Unknown - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Web
9cbe564a-1263-451e-bdab-1ed4967095ef,Android Phone - Moweb
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
9cbe564a-1263-451e-bdab-1ed4967095ef,Desktop - Chrome
